"Num","PrecinctName","POLLINGLOC","ADDRESS","COUNCIL","USCON","STSEN","STHOD","TOTAL","TOTAL18","BLACKNH","WHITENH","TOTALHISP","ASIANNH","OBJECTID","GlobalID"
"101","Denbigh","COURTHOUSE WAY COMMUNITY CTR","14302 OLD COURTHOUSE WAY","NORTH","C03","S024","H070","7175","5462","3484","1626","1375","404","9","{4DFA6DDD-B25D-4401-BCD6-769BCB6EC79A}"
"102","Stoney Run","STONEY RUN ELEM SCH","855 LUCAS CREEK RD","NORTH","C03","S024","H070","7997","5644","4936","1537","899","318","37","{E0704584-2D56-4659-935A-01C735E0E7F8}"
"104","McIntosh","GEORGE J. MCINTOSH ELEM SCH","185 RICHNECK RD","NORTH","C03","S024","H070","4571","3511","2230","1233","548","342","23","{9F4CCD22-6FAF-44E4-9417-AF9D59DEDE74}"
"106","Reservoir","DENBIGH EARLY CHILDHOOD CTR","15638 WARWICK BLVD","NORTH","C03","S024","H069","9085","6615","3482","3262","1435","476","29","{54EA6485-792D-4461-8963-DE40565E5BFD}"
"107","Richneck","RICHNECK ELEM SCH","205 TYNER DR","NORTH","C03","S024","H070","5806","4537","2249","2371","528","373","30","{4DC86BC1-CEFF-4773-96AF-444026067E58}"
"108","Katherine Johnson","KATHERINE JOHNSON ELEM SCH","17346 WARWICK BLVD","NORTH","C03","S024","H069","2022","1521","859","823","197","63","17","{A0CC31CA-7735-4546-8CA9-8DE6A07218FD}"
"109","Windsor","STEVENS MEMORIAL BAPTIST CHURCH","224 RICHNECK RD","NORTH","C03","S024","H070","3466","2717","1352","1359","375","210","43","{7D0F5981-924F-4C6C-A1B8-20CA476E43C1}"
"110","Greenwood","GREENWOOD ELEM SCH","13460 WOODSIDE LN","NORTH","C03","S024","H070","6750","4912","3102","2043","854","437","11","{62B8AFF7-6F26-4BAE-A389-68401C2F9F23}"
"111","Stoneybrook","DENBIGH COMMUNITY CENTER","15198 WARWICK BLVD","NORTH","C03","S024","H070","7753","5722","3409","2279","1420","323","38","{A3931F95-CE48-4DDB-8846-F410ACB04989}"
"112","Knollwood Meadows","KNOLLWOOD MEADOWS ELEM SCH","826 MOYER RD","NORTH","C03","S024","H070","5581","4392","1486","2983","480","392","19","{0FB724B8-2BD1-4A52-8AFA-310AAF51C8DD}"
"113","Sanford","SANFORD ELEM SCH","480 COLONY RD","NORTH","C03","S024","H070","1707","1357","284","1164","97","105","33","{7AD2B979-C10D-492A-BBAA-A006BCBF11B1}"
"201","Bland","GEORGE J. MCINTOSH ELEM SCH","185 RICHNECK RD","CENTRAL","C03","S024","H085","1775","1459","732","630","212","143","1","{31FACB69-2257-4498-B503-D8CEEB0F9971}"
"202","Boulevard","KNIGHTS OF COLUMBUS BLDG","12742 NETTLES DR","CENTRAL","C03","S024","H070","3669","2917","933","2240","297","90","2","{CAD6F3C2-F600-428A-BC38-BC6E2F321159}"
